circuit,aspect_ratio,planned_core_w,planned_core_h,grid_w,grid_h,area_mwta,delay_ns,power_w,adp,adp_reduction_pct_vs_baseline,vtr_success,vtr_seconds,dsp_coords,bram_coords,note
raygentop,1.3,16,12,22,17,1438830.0,5.29124,0.0285,216976.0532022,-22.422416352025778,True,9.73,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,1.4,17,12,22,16,1296640.0,5.19738,0.02778,187213.05371289598,-5.629511044778885,True,9.98,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,1.5,18,12,23,15,1407430.0,5.56669,0.02671,209265.54499395704,-18.071986743669058,True,9.79,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,1.8,22,12,25,14,1375480.0,5.33435,0.02733,200528.18319953998,-13.142184917024153,True,9.83,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,1.7,20,12,24,14,1316070.0,5.36133,0.02679,189027.174503349,-6.65307584579746,True,10.08,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,1.9,23,12,26,14,1387830.0,5.66847,0.02632,207056.08999303202,-16.82536613258143,True,9.33,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,1.6,19,12,24,15,1325870.0,5.39326,0.02725,194858.25458645,-9.943092892287627,True,11.04,"[[6, 1], [6, 5], [6, 9], [14, 1], [14, 5], [14, 9]]","[[2, 1]]",
raygentop,2.0,22,11,25,13,1264700.0,5.27045,0.02683,178836.38762545,-0.9032212618066129,True,10.84,"[[6, 1], [6, 5], [14, 1], [14, 5], [22, 1], [22, 5]]","[[2, 1]]",
mkSMAdapter4B,0.4,10,24,12,30,1166250.0,5.29989,0.03007,185862.57114487502,-2.6682781271740823,True,9.03,[],"[[2, 1], [2, 7], [2, 13], [2, 19], [10, 1]]",
mkSMAdapter4B,0.2,6,31,8,40,1302140.0,5.38842,0.02951,207056.242726788,-14.37541074190455,True,9.73,[],"[[2, 1], [2, 7], [2, 13], [2, 19], [2, 25]]",
